written	reading	set	level	meaning	clue	note
もう一度	もういちど	numbers	N5		You did not catch it the first time, so you ask for a second go.	
一	いち	numbers	N5	one	The first counting number, and the smallest amount you can have of anything.	
一つ	ひとつ	numbers	N5	one thing	The count you reach for when a single object sits in front of you.	
一万	いちまん	numbers	N5		A hundred hundreds, the figure printed on the largest common banknote.	万 is never a word alone
七	なな	numbers	N5	seven	The number of days it takes to get back to the same weekday.	OpenJLPT gives しち / なな; one reading per row
七つ	ななつ	numbers	N5	seven things	Counting objects, the amount that fills a week of days.	
三	さん	numbers	N5	three	The number of corners on a triangle.	
三つ	みっつ	numbers	N5	three things	Counting objects, the amount that matches a triangle's corners.	
九	きゅう	numbers	N5	nine	The largest figure a single digit can hold.	OpenJLPT gives きゅう / く; one reading per row
九つ	ここのつ	numbers	N5	nine things	Counting objects, the largest amount a single digit can hold.	
二	に	numbers	N5	two	The number of eyes in a face.	
二つ	ふたつ	numbers	N5	two things	Counting objects, the amount that makes a pair.	
五	ご	numbers	N5	five	The number of fingers on a hand.	
五つ	いつつ	numbers	N5	five things	Counting objects, the amount that matches the fingers of a hand.	
八	はち	numbers	N5	eight	The number of legs on a spider.	
八つ	やっつ	numbers	N5	eight things	Counting objects, the amount that matches a spider's legs.	
六	ろく	numbers	N5	six	The number of faces on a die.	
六つ	むっつ	numbers	N5	six things	Counting objects, the amount that matches the faces of a die.	
十	じゅう	numbers	N5		The number of fingers on both hands together.	OpenJLPT gives じゅう とお; one reading per row
千	せん	numbers	N5		Ten hundreds.	
半	はん	time	N5	half past	On a clock, the moment thirty minutes into the hour.	
半分	はんぶん	time	N5	a half	What you get when something is cut into two equal parts.	
四	よん	numbers	N5	four	The number of legs on a chair.	OpenJLPT gives し / よん; one reading per row
四つ	よっつ	numbers	N5	four things	Counting objects, the amount that matches a chair's legs.	
百	ひゃく	numbers	N5		Ten tens.	
一日	いちにち	calendar	N5		Midnight to midnight, taken as a single stretch.	いちにち, one day; ついたち, 1st of the month, is a separate word
一月	ひとつき	calendar	N5		A stretch of about thirty days, taken as a whole.	ひとつき, one month; いちがつ, January, is a separate word
七日	なのか	calendar	N5		The date a week after the first of the calendar.	
三日	みっか	calendar	N5		The date two days after the first of the calendar.	
九日	ここのか	calendar	N5		The date eight days after the first of the calendar.	
二日	ふつか	calendar	N5		The date directly after the first of the calendar.	
五日	いつか	calendar	N5		The date four days after the first of the calendar.	
今月	こんげつ	calendar	N5		The stretch of thirty-odd days you are living through right now.	
今週	こんしゅう	calendar	N5		The run of seven days you are living through right now.	
先月	せんげつ	calendar	N5		The stretch of thirty-odd days that ended when the current one began.	
先週	せんしゅう	calendar	N5		The run of seven days that ended when the current run began.	
八日	ようか	calendar	N5		The date seven days after the first of the calendar.	
六日	むいか	calendar	N5		The date five days after the first of the calendar.	
再来年	さらいねん	calendar	N5		Two new year's celebrations from where you stand.	OpenJLPT writes さ来年, which JMdict marks rK
十日	とおか	calendar	N5		The date nine days after the first of the calendar.	
去年	きょねん	calendar	N5		The twelve months that ended at the most recent new year.	
四日	よっか	calendar	N5		The date three days after the first of the calendar.	
土曜日	どようび	calendar	N5		The sixth day of the week, the first of the two free ones.	
夏休み	なつやすみ	calendar	N5		The long break from school in the hottest part of the year.	
年	とし	calendar	N5		A stretch of twelve months, from one January to the next.	
日曜日	にちようび	calendar	N5		The seventh day of the week, the one calendars print in red.	
月曜日	げつようび	calendar	N5		The first working day after the weekend.	
木曜日	もくようび	calendar	N5		The fourth working day of the week, just before the last.	
来年	らいねん	calendar	N5		The twelve months that start at the coming January.	
来月	らいげつ	calendar	N5		The stretch of thirty-odd days that begins when the current one ends.	
来週	らいしゅう	calendar	N5		The run of seven days that begins when the current run ends.	
毎年	まいとし	calendar	N5		Something that comes round once in each twelve-month stretch, without fail.	OpenJLPT gives まいねん/まいとし; one reading per row
毎日	まいにち	calendar	N5		Something that happens on all seven days, and on the next seven too.	
毎月	まいつき	calendar	N5		Something that comes round once in each thirty-odd-day stretch.	OpenJLPT gives まいげつ/まいつき; one reading per row
毎週	まいしゅう	calendar	N5		Something that comes round once in each run of seven days.	
水曜日	すいようび	calendar	N5		The middle working day, with two before it and two after.	
火曜日	かようび	calendar	N5		The second working day of the week.	
誕生日	たんじょうび	calendar	N5		The date you were born, marked once a twelvemonth with a cake.	
金曜日	きんようび	calendar	N5		The last working day before the weekend.	
今	いま	time	N5		This very moment, neither earlier nor later.	
今晩	こんばん	time	N5		The dark hours of the day you are living through.	
休み	やすみ	actions	N5		A pause from work or from school.	
午前	ごぜん	time	N5		The half of the day that ends at noon.	
午後	ごご	time	N5		The half of the day that starts at noon.	
時々	ときどき	time	N5		Neither always nor never: every so often.	
時計	とけい	time	N5		The round face on the wall whose two hands tell you the hour.	
時間	じかん	time	N5		What an hourglass measures as its sand runs through.	
毎晩	まいばん	time	N5		Something that happens after dark, and again after the next dark.	
毎朝	まいあさ	time	N5		Something that happens when you wake, and again when you next wake.	
お母さん	おかあさん	people	N5		The parent who gave birth to you, spoken of politely.	
お父さん	おとうさん	people	N5		The parent who did not give birth to you, spoken of politely.	
人	ひと	people	N5		A single human being, neither an animal nor a thing.	
先生	せんせい	people	N5		The one who stands at the front of the class and explains.	
外国人	がいこくじん	people	N5		Somebody who holds the passport of another country.	
大勢	おおぜい	people	N5		A great many human beings packed into the same place.	
女	おんな	people	N5		A grown human of the sex that can bear children.	
女の子	おんなのこ	people	N5		A young human who will grow into a woman.	
子供	こども	people	N5		A young human, not yet grown.	
学生	がくせい	people	N5		Somebody enrolled at a university, working towards a degree.	
生徒	せいと	people	N5		A young learner at a primary or a secondary school.	
男	おとこ	people	N5		A grown human of the sex that cannot bear children.	
男の子	おとこのこ	people	N5		A young human who will grow into a man.	
留学生	りゅうがくせい	people	N5		Somebody studying at a university in a country not their own.	
